"activity" "subject.id" "tBodyAcc.mean.X" "tBodyAcc.mean.Y" "tBodyAcc.mean.Z" "tBodyAcc.std.X" "tBodyAcc.std.Y" "tBodyAcc.std.Z" "tGravityAcc.mean.X" "tGravityAcc.mean.Y" "tGravityAcc.mean.Z" "tGravityAcc.std.X" "tGravityAcc.std.Y" "tGravityAcc.std.Z" "tBodyAccJerk.mean.X" "tBodyAccJerk.mean.Y" "tBodyAccJerk.mean.Z" "tBodyAccJerk.std.X" "tBodyAccJerk.std.Y" "tBodyAccJerk.std.Z" "tBodyGyro.mean.X" "tBodyGyro.mean.Y" "tBodyGyro.mean.Z" "tBodyGyro.std.X" "tBodyGyro.std.Y" "tBodyGyro.std.Z" "tBodyGyroJerk.mean.X" "tBodyGyroJerk.mean.Y" "tBodyGyroJerk.mean.Z" "tBodyGyroJerk.std.X" "tBodyGyroJerk.std.Y" "tBodyGyroJerk.std.Z" "tBodyAccMag.mean" "tBodyAccMag.std" "tGravityAccMag.mean" "tGravityAccMag.std" "tBodyAccJerkMag.mean" "tBodyAccJerkMag.std" "tBodyGyroMag.mean" "tBodyGyroMag.std" "tBodyGyroJerkMag.mean" "tBodyGyroJerkMag.std" "fBodyAcc.mean.X" "fBodyAcc.mean.Y" "fBodyAcc.mean.Z" "fBodyAcc.std.X" "fBodyAcc.std.Y" "fBodyAcc.std.Z" "fBodyAccJerk.mean.X" "fBodyAccJerk.mean.Y" "fBodyAccJerk.mean.Z" "fBodyAccJerk.std.X" "fBodyAccJerk.std.Y" "fBodyAccJerk.std.Z" "fBodyGyro.mean.X" "fBodyGyro.mean.Y" "fBodyGyro.mean.Z" "fBodyGyro.std.X" "fBodyGyro.std.Y" "fBodyGyro.std.Z" "fBodyAccMag.mean" "fBodyAccMag.std" "fBodyBodyAccJerkMag.mean" "fBodyBodyAccJerkMag.std" "fBodyBodyGyroMag.mean" "fBodyBodyGyroMag.std" "fBodyBodyGyroJerkMag.mean" "fBodyBodyGyroJerkMag.std"
"LAYING" 20 0.275800488910256 -0.0154394352991026 -0.103432062417949 -0.546535422961538 -0.259011300096154 -0.639730168647436 0.590974958467949 0.00243648291666667 0.121107911150321 -0.95804564051282 -0.951149621217949 -0.943657000576923 0.0750346921474359 -0.00274400097455128 -0.00251495485183974 -0.586215941176923 -0.426120353397436 -0.738913456730769 -0.0224726834409615 -0.0789627194310256 0.0900253976657692 -0.652396391814103 -0.485894484605705 -0.460843186407692 -0.0945547052108333 -0.0402012429820513 -0.0525724570615385 -0.653186069490385 -0.643573137512821 -0.536900063648718 -0.452429326099846 -0.519017420878205 -0.452429326099846 -0.519017420878205 -0.564555998864103 -0.540847617073269 -0.435122258175641 -0.521471397919231 -0.624627827903846 -0.65307636871282 -0.57063792171218 -0.324959680379103 -0.67195587225 -0.538561223491667 -0.273948137371154 -0.65088931224359 -0.624523279069231 -0.466996133878205 -0.730766642435897 -0.584111033739744 -0.420402255935897 -0.745732864166667 -0.579382474189103 -0.526303994216667 -0.431155163544231 -0.676883051647436 -0.46709876350641 -0.522534472884615 -0.505493351425641 -0.604222557220513 -0.538159936420513 -0.548497929924744 -0.547332691298077 -0.588328799467949 -0.659341951769231 -0.670451894533974
"LAYING" 24 0.276916906627297 -0.0176822460103885 -0.107914503687664 -0.675459176298425 -0.582490655185302 -0.636497458900262 0.69498126808399 0.0729509702152231 0.238737662698688 -0.975329699658793 -0.96089816664042 -0.955724566194226 0.0784735003467192 0.00396900308574016 -0.00700960558805774 -0.74030054488189 -0.685979796261942 -0.736374232574803 -0.0212578096847769 -0.0782440202677165 0.0841740375981627 -0.776199049939633 -0.763365457296588 -0.708251676335958 -0.0998294248142257 -0.0390749421383202 -0.0552987683401575 -0.764490030609974 -0.792718702440945 -0.796816516614173 -0.620032665162467 -0.650862147810236 -0.620032665162467 -0.650862147810236 -0.713667423769029 -0.689391189346457 -0.682447212750656 -0.742983126606299 -0.791646550787402 -0.788997850813648 -0.707613779580052 -0.611509042586877 -0.65585899482231 -0.664356691751496 -0.594676790059055 -0.655360521446194 -0.752245372493438 -0.703641614506562 -0.719655747391076 -0.751378154304462 -0.688280461860892 -0.751628687821522 -0.722607377748032 -0.753710479580053 -0.70948857687664 -0.794063529133858 -0.771969808976378 -0.735749934304462 -0.650121872273806 -0.705928425819685 -0.696845583388451 -0.682447145993307 -0.754131617480315 -0.782076276167979 -0.795019165380577 -0.796157264514436
"LAYING" 27 0.277798919328859 -0.0169386590334393 -0.112273368370134 -0.574783321550336 -0.541012892132886 -0.60815876533557 0.585139591107383 0.0234793061308725 0.120613102375168 -0.971679845234899 -0.969891146979866 -0.956568824597315 0.076859186338255 0.0051839851588557 -0.00554795896677852 -0.624308492209396 -0.593582093143792 -0.729557309630873 -0.0683332171546644 -0.0496441313538255 0.116262252263758 -0.745669027144295 -0.754439610369128 -0.594631679097315 -0.0873862322442852 -0.0464751059848658 -0.0600793214 -0.776155496711409 -0.796468156174497 -0.727982409261745 -0.535726883050671 -0.600445866154362 -0.535726883050671 -0.600445866154362 -0.626287365461409 -0.618887250102013 -0.622646577775503 -0.697498265308054 -0.778275050167785 -0.796244747537248 -0.600641532119463 -0.553874359468121 -0.646548247644295 -0.566781295338926 -0.565176644248322 -0.620141790812081 -0.641991780991611 -0.618436710858725 -0.711004343278523 -0.63962383364094 -0.594512488954698 -0.746736746744966 -0.711546673275168 -0.745557413412416 -0.630494529231544 -0.758703337557047 -0.763234809362416 -0.623261741473154 -0.585787631892617 -0.672092417700336 -0.609647345982886 -0.633580675552349 -0.735008737516779 -0.726661203895973 -0.796725772701342 -0.810137398130872
"LAYING" 28 0.277532554764398 -0.0191721442063089 -0.109710873104188 -0.649040391307853 -0.573651895933508 -0.685821415026178 0.62376789513089 -0.14757775521466 -0.0469931021049738 -0.973873328062827 -0.960365626256545 -0.946225637251309 0.0807263062382199 0.0138224436546073 0.000824208324801046 -0.680813725392147 -0.651619848945026 -0.800870581884817 -0.064496354556466 -0.0471474023101021 0.100840281329581 -0.740276591873298 -0.741285540196335 -0.669789662889791 -0.0881213551172775 -0.0447972595862042 -0.0607680707408115 -0.720515676293194 -0.825038783246073 -0.769755981125654 -0.610030902501309 -0.635821226515969 -0.610030902501309 -0.635821226515969 -0.689429387759162 -0.687703433627487 -0.648538641430367 -0.710956808836911 -0.78929494326178 -0.805738383010471 -0.654156519193717 -0.584932500113874 -0.715134474431937 -0.647807192984293 -0.595110472615916 -0.695767279528796 -0.686723799059424 -0.670718095926963 -0.779061720358639 -0.704073382410995 -0.654855915271466 -0.821715494424084 -0.674356656020942 -0.747067907931937 -0.673513886890838 -0.762030978010471 -0.740819453429319 -0.700291282881152 -0.628763247405236 -0.696993999667801 -0.675428720467801 -0.706415829342932 -0.73790809206911 -0.743784612693717 -0.806882151753927 -0.818448508376963
"LAYING" 29 0.279111521944767 -0.018471953048314 -0.108675612269477 -0.574295395364826 -0.598400275636657 -0.606461283926453 0.683067625610465 0.115489757911628 0.208215370043721 -0.973282885843023 -0.964643161017442 -0.941621790232558 0.0788382324713372 0.00900161248883721 -0.00355290542467733 -0.623456414216366 -0.635499779848779 -0.793746797790698 -0.0101831910869331 -0.0882883296441861 0.0881626266546221 -0.73469927369157 -0.634569173421512 -0.713864583982558 -0.100707751809855 -0.0464322029527616 -0.052785999031686 -0.736117664139535 -0.853639613139535 -0.770221314302326 -0.553585593347965 -0.579067216088081 -0.553585593347965 -0.579067216088081 -0.664538060484884 -0.620472049862791 -0.602228993700349 -0.653732301592151 -0.802293906366279 -0.840156364186047 -0.579901000186134 -0.587686308146221 -0.680547675465116 -0.5727879490375 -0.630978844851831 -0.602550925183721 -0.629875853152035 -0.641289075786337 -0.768433928313954 -0.651564188964826 -0.655526116655523 -0.818292780813954 -0.685747413486628 -0.735972301656977 -0.689221357718023 -0.752567831707849 -0.588857987485174 -0.749163172296512 -0.589294014734302 -0.639314176054942 -0.609879937469099 -0.636434470547384 -0.722018434984302 -0.671454324368401 -0.840464164156977 -0.851462426569767
"LAYING" 30 0.276305836721932 -0.0175856077340209 -0.10589355727859 -0.615890785389034 -0.519047387875457 -0.522643273772115 0.696858200678851 0.0512698188974987 0.184343178348037 -0.974319118563969 -0.952288292767624 -0.92943263464752 0.0734799270148825 0.00730438257971279 -0.000653871890373369 -0.679007254150131 -0.6607705539047 -0.781644485013055 -0.0354229280326632 -0.0717482452402089 0.0834544586693995 -0.671005846122715 -0.538990663942298 -0.589783442185379 -0.0926769005274151 -0.0412903779669452 -0.0493556177875196 -0.780636429556136 -0.79894807305483 -0.76322854691906 -0.538131194183003 -0.588158111633681 -0.538131194183003 -0.588158111633681 -0.697050126998956 -0.658972148093473 -0.510032754098198 -0.573779428671018 -0.785870931331593 -0.810398514673629 -0.635650125322193 -0.55849001001906 -0.634958546900783 -0.609238911508407 -0.531321491840992 -0.506570361273995 -0.685307771157441 -0.671673670524282 -0.755432212793734 -0.701879208571802 -0.672622022924282 -0.807184940939948 -0.667418236692689 -0.629910665959817 -0.615699347830287 -0.676801995680601 -0.496310421449608 -0.620253390415144 -0.600372067046214 -0.646522810920757 -0.656339723754047 -0.664600262443812 -0.669600510563003 -0.589192650089817 -0.811292332428198 -0.822805618746736
"SITTING" 12 0.275639357761194 -0.0184861388459702 -0.107917262447761 -0.508665196767164 -0.401357613464179 -0.722443639029851 0.629964778955224 0.112652596558955 0.0611967734664179 -0.973039656865672 -0.961684570149254 -0.956887170522388 0.0572366455208955 0.010632586489403 0.0155338481445373 -0.487513853589552 -0.441798499370224 -0.813044700746269 -0.0702784362985075 -0.0422418424895522 0.089311570049403 -0.677307561997761 -0.680398804104478 -0.699245741395522 -0.0726924262059701 -0.0457374795179104 -0.0515110922703731 -0.623189590291045 -0.786312781716418 -0.71311417830597 -0.485419876919403 -0.509050737147015 -0.485419876919403 -0.509050737147015 -0.553813266144776 -0.468462139639552 -0.585957269414925 -0.641774640228657 -0.735015701865672 -0.742760839925373 -0.498119157841045 -0.392694131024627 -0.75610207 -0.514152324191791 -0.444910001659702 -0.728469606492537 -0.51464202580597 -0.471744804389552 -0.799284140671642 -0.505745022388806 -0.447339284527239 -0.825620583955224 -0.585669505506716 -0.708184516268657 -0.64488048111194 -0.707831066395522 -0.669622323059701 -0.748431752686567 -0.47792395599403 -0.605529765076119 -0.461153229439552 -0.480918839647015 -0.669095112974627 -0.687480054074627 -0.749207546626866 -0.753265165522388
"SITTING" 13 0.275895876198777 -0.0176504796070948 -0.109135285550765 -0.624844460199083 -0.448816097853364 -0.587230562129052 0.709996516908257 -0.0420858101162079 0.236057718261254 -0.967268063455658 -0.953540716850153 -0.938727880275229 0.0794393034550306 0.00387961953328135 -0.0123485923641621 -0.638889532599083 -0.569700547488012 -0.728452966311927 -0.0562470618980061 -0.0616613787494801 0.098866059686422 -0.715109859672783 -0.645728612088685 -0.643337285033639 -0.0881182379434251 -0.0440836605146789 -0.0582718748712538 -0.715772980189602 -0.718988591831804 -0.712716428498471 -0.539871637249541 -0.597230982062691 -0.539871637249541 -0.597230982062691 -0.625466938809174 -0.610248540269939 -0.581215403184709 -0.636364939544342 -0.712745036012232 -0.712056186747706 -0.638817912651682 -0.493467193137125 -0.629736258731804 -0.620602036452599 -0.462584458627829 -0.599036895271407 -0.66008217407156 -0.603340489937615 -0.710831730361468 -0.649606227431844 -0.562129866937645 -0.744823539571865 -0.65864242140581 -0.647152817899388 -0.620471226529052 -0.734657989051988 -0.650623558847401 -0.685774481529052 -0.589928108599083 -0.665344858593272 -0.607295296423853 -0.617075473106453 -0.652225306544343 -0.691915161336391 -0.712054366504281 -0.733183567759939
"SITTING" 17 0.27344147274375 -0.0180888559772812 -0.109111919458969 -0.550867932263844 -0.507275258134 -0.613217322774375 0.668613344125 0.01046225616875 0.0223722077328125 -0.9695361643125 -0.9570481696875 -0.94542101409375 0.08251105141625 0.00885228208375 0.003826532875875 -0.635949363671875 -0.6209185283575 -0.78668123990625 -0.01284166884445 -0.0833880991568063 0.0745157818036563 -0.7250048879375 -0.73173270325 -0.681002221107187 -0.109084058157187 -0.0390296211270938 -0.0504091215649062 -0.75779255871875 -0.80093311453125 -0.7804575046875 -0.506906000020438 -0.585287408546562 -0.506906000020438 -0.585287408546562 -0.652073857695312 -0.649316139213437 -0.630693906651719 -0.71559290114375 -0.78281769309375 -0.80013424171875 -0.600723904619781 -0.545947390043031 -0.67938986181875 -0.533671600249375 -0.519062339910625 -0.609007944529688 -0.675134742364062 -0.65093749483125 -0.7744940495625 -0.628899885682187 -0.614345425693125 -0.79753323615625 -0.690246842451563 -0.7428462089375 -0.68792205428125 -0.737661758785625 -0.72779753184375 -0.708869113253125 -0.595908048050938 -0.644502428118125 -0.653531400748438 -0.647886818483125 -0.73703546740625 -0.7525235544375 -0.8045235876875 -0.8098826564375
"SITTING" 18 0.27795824 -0.01729741093 -0.110021546 -0.991705206333333 -0.939095257 -0.950753017666667 0.962581161666667 -0.180018835666667 0.0783976787 -0.995679798333333 -0.97557713 -0.973759297333333 0.0756560724 0.01212352927 0.000426343527333334 -0.989808125333333 -0.968781037 -0.989064151666667 -0.0259236282933333 -0.0744458279666667 0.0854533145 -0.950461505666667 -0.977660980333333 -0.962330311666667 -0.0981970214 -0.0397930495333333 -0.053319608 -0.976198165666667 -0.991806091 -0.982765702666667 -0.963685834333333 -0.964222192 -0.963685834333333 -0.964222192 -0.984336614 -0.983733639666667 -0.951887812 -0.947942481333333 -0.986611885 -0.986354497333333 -0.990052909 -0.949811015333333 -0.972738081666667 -0.992469808333333 -0.937087901 -0.943508302333333 -0.989649728 -0.969070922 -0.986778406666667 -0.990952901666667 -0.970764276333333 -0.990011026 -0.953668505666667 -0.982765614333333 -0.966466455666667 -0.950392071666667 -0.975029833666667 -0.964431652333333 -0.97137329 -0.965101664666667 -0.982538887333333 -0.984285595333333 -0.964628023666667 -0.946838238333333 -0.987332531 -0.985681788333333
